Date;Close
2004-12-31;320.25
2005-01-31;324.06
2005-02-28;328.74
2005-03-31;329.23
2005-04-30;336.81
2005-05-31;335.86
2005-06-30;361.75
2005-07-31;353.8
2005-08-31;353.67
2005-09-30;393.13
2005-10-31;392.29
2005-11-30;420.86
2005-12-31;433.53
2006-01-31;469.1
2006-02-28;467.35
2006-03-31;480.12
2006-04-30;512.13
2006-05-31;507.7
2006-06-30;480.72
2006-07-31;495.69
2006-08-31;486.2
2006-09-30;473.15
2006-10-31;473.53
2006-11-30;488.41
2006-12-31;480.79
2007-01-31;501.23
2007-02-28;502.69
2007-03-31;496.71
2007-04-30;496.3
2007-05-31;490.07
2007-06-30;481.5
2007-07-31;485.66
2007-08-31;492.6
2007-09-30;522.98
2007-10-31;546.48
2007-11-30;531.15
2007-12-31;567.33
2008-01-31;621.89
2008-02-29;640.07
2008-03-31;589.59
2008-04-30;559.99
2008-05-31;570.57
2008-06-30;589.21
2008-07-31;586.88
2008-08-31;566.44
2008-09-30;624.03
2008-10-31;574.4
2008-11-30;640.33
2008-12-31;614.49
2009-01-31;715.62
2009-02-28;752.81
2009-03-31;688.99
2009-04-30;688.22
2009-05-31;691
2009-06-30;664.89
2009-07-31;664.59
2009-08-31;665.3
2009-09-30;682.63
2009-10-31;704.61
2009-11-30;782.32
2009-12-31;760.7
2010-01-31;775.4
2010-02-28;816.93
2010-03-31;825.07
2010-04-30;887.39
2010-05-31;977.86
2010-06-30;1.018.08
2010-07-31;892.56
2010-08-31;974.13
2010-09-30;961.65
2010-10-31;964.42
2010-11-30;1.041.61
2010-12-31;1.059.19
2011-01-31;972.04
2011-02-28;1.024.17
2011-03-31;1.012.46
2011-04-30;1.027.22
2011-05-31;1.069.24
2011-06-30;1.043.20
2011-07-31;1.126.52
2011-08-31;1.269.70
2011-09-30;1.202.08
2011-10-31;1.223.83
2011-11-30;1.291.68
2011-12-31;1.201.63
2012-01-31;1.314.77
2012-02-29;1.327.16
2012-03-31;1.244.72
2012-04-30;1.255.92
2012-05-31;1.261.06
2012-06-30;1.243.90
2012-07-31;1.321.76
2012-08-31;1.322.85
2012-09-30;1.376.56
2012-10-31;1.320.70
2012-11-30;1.329.40
2012-12-31;1.259.57
2013-01-31;1.237.87
2013-02-28;1.216.57
2013-03-31;1.244.80
2013-04-30;1.122.61
2013-05-31;1.088.38
2013-06-30;919.28
2013-07-31;1.006.77
2013-08-31;1.063.40
2013-09-30;988.63
2013-10-31;977.2
2013-11-30;913.3
2013-12-31;867.14
2014-01-31;917.11
2014-02-28;971.38
2014-03-31;941.8
2014-04-30;938.24
2014-05-31;922.9
2014-06-30;964.4
2014-07-31;967.4
2014-08-31;978.09
2014-09-30;957.95
2014-10-31;951.7
2014-11-30;954.84
2014-12-31;987.1
2015-01-31;1.110.83
2015-02-28;1.080.02
2015-03-31;1.094.70
2015-04-30;1.083.16
2015-05-31;1.085.29
2015-06-30;1.050.03
2015-07-31;996.25
2015-08-31;1.013.70
2015-09-30;1.002.24
2015-10-31;1.043.62
2015-11-30;998.8
2015-12-31;971.9
2016-01-31;1.019.19
2016-02-29;1.118.51
2016-03-31;1.080.74
2016-04-30;1.115.60
2016-05-31;1.082.55
2016-06-30;1.185.48
2016-07-31;1.208.92
2016-08-31;1.173.16
2016-09-30;1.167.83
2016-10-31;1.163.12
2016-11-30;1.107.28
2016-12-31;1.095.28
2017-01-31;1.121.25
2017-02-28;1.180.56
2017-03-31;1.172.29
2017-04-30;1.163.81
2017-05-31;1.128.20
2017-06-30;1.088.51
2017-07-31;1.080.02
2017-08-31;1.100.40
2017-09-30;1.092.46
2017-10-31;1.095.91
2017-11-30;1.079.22
2017-12-31;1.084.83
2018-01-31;1.079.21
2018-02-28;1.077.76
2018-03-31;1.077.02
2018-04-30;1.088.95
2018-05-31;1.115.38
2018-06-30;1.079.38
2018-07-31;1.043.87
2018-08-31;1.028.31
2018-09-30;1.016.28
2018-10-31;1.077.99
2018-11-30;1.074.93
2018-12-31;1.119.42
2019-01-31;1.149.22
2019-02-28;1.160.61
2019-03-31;1.149.73
2019-04-30;1.144.16
2019-05-31;1.158.26
2019-06-30;1.240.05
2019-07-31;1.282.70
2019-08-31;1.381.10
2019-09-30;1.368.24
2019-10-31;1.340.99
2019-11-30;1.322.68
2019-12-31;1.352.70
2020-01-31;1.426.78
2020-02-29;1.495.00
2020-03-31;1.468.16
2020-04-30;1.574.77
2020-05-31;1.551.56
2020-06-30;1.577.15
2020-07-31;1.652.32
2020-08-31;1.650.10
2020-09-30;1.615.76
2020-10-31;1.599.30
2020-11-30;1.495.49
2020-12-31;1.539.80
2021-01-31;1.520.29
2021-02-28;1.454.27
2021-03-31;1.438.14
2021-04-30;1.462.08
2021-05-31;1.561.69
2021-06-30;1.480.45
2021-07-31;1.537.90
2021-08-31;1.534.50
2021-09-30;1.489.03
2021-10-31;1.539.60
2021-11-30;1.580.75
2021-12-31;1.602.77
2022-01-31;1.606.75
2022-02-28;1.723.65
2022-03-31;1.732.25
2022-04-30;1.804.50
2022-05-31;1.722.45
2022-06-30;1.740.85
2022-07-31;1.722.10
2022-08-31;1.721.83
2022-09-30;1.692.99
2022-10-31;1.651.38
2022-11-30;1.694.27
2022-12-31;1.702.47
2023-01-31;1.772.30
2023-02-28;1.712.99
2023-03-31;1.815.87
2023-04-30;1.802.38
2023-05-31;1.825.35
2023-06-30;1.756.55
2023-07-31;1.778.45
2023-08-31;1.778.35
2023-09-30;1.764.99
2023-10-31;1.879.76
2023-11-30;1.863.65
2023-12-31;1.867.14
2024-01-31;1.878.04
2024-02-29;1.876.98
2024-03-31;2.070.28
2024-04-30;2.178.96
2024-05-31;2.163.05
2024-06-30;2.174.42
2024-07-31;2.229.54
2024-08-31;2.275.95
2024-09-30;2.381.20
2024-10-31;2.567.11
2024-11-30;2.499.00
2024-12-31;2.504.25
